model_response_length,model_response_unique,model_response_(,model_response_),model_response_{,model_response_},model_response_[,model_response_],model_response_;,model_response_.,"model_response_,",model_response_:,model_response_<,model_response_>,model_response_+,model_response_-,model_response_*,model_response_/,model_response_%,model_response_&,model_response_|,model_response_!,model_response_^,model_response_~,model_response_#,model_response_\,model_response_@,model_response_nil,model_response_#include,model_response_import,model_response_java,model_response_<-,model_response_package,model_response_:=,prompt_length,prompt_unique,prompt_(,prompt_),prompt_{,prompt_},prompt_[,prompt_],prompt_;,prompt_.,"prompt_,",prompt_:,prompt_<,prompt_>,prompt_+,prompt_-,prompt_*,prompt_/,prompt_%,prompt_&,prompt_|,prompt_!,prompt_^,prompt_~,prompt_#,prompt_\,prompt_@,prompt_nil,prompt_#include,prompt_import,prompt_java,prompt_<-,prompt_package,prompt_:=,target
29,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,2741,151,39,38,10,9,0,0,0,55,10,2,5,0,0,7,0,53,0,14,0,9,0,0,0,0,0,3,0,1,0,0,1,2,0
44,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4104,153,28,28,4,4,30,30,0,63,35,24,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0
17,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,16,4393,297,103,103,48,48,14,14,9,105,44,32,9,8,16,2,14,52,7,23,18,10,0,0,0,2,1,3,0,1,0,0,1,16,0
68,6,5,5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2621,83,146,144,10,8,0,0,54,109,23,5,0,22,0,1,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,681,55,1,1,4,3,0,0,0,3,11,5,0,1,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
30,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11486,325,4,4,62,59,51,51,359,8,4,349,2,4,1,5,0,9,0,0,15,0,0,0,0,0,1,0,0,3,0,0,0,0,0
47,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2890,88,26,25,8,8,1,1,22,12,16,143,16,14,0,0,4,45,0,1,0,0,0,0,13,0,0,0,13,0,0,0,0,0,1
48,5,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,1,11,2916,123,34,34,20,19,1,1,1,64,48,24,0,0,0,4,11,29,4,1,0,10,0,0,0,0,0,21,0,1,0,0,1,11,0
46,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,3,2551,168,37,37,11,11,0,0,2,55,15,6,0,0,0,2,0,51,0,0,2,3,0,0,0,0,0,6,0,1,0,0,1,3,0
43,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1960,150,25,24,18,18,6,6,0,37,13,6,1,0,0,2,3,29,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,1
